Name,Worth,Party,Years,Life
"Donald Trump",3500,Republican,2017-present,1946
"John F. Kennedy",1000,Democratic,1961-1963,1917-1963
"George Washington",580,None,1789-1797,1732-1799
"Thomas Jefferson",234,Democratic-Republican,1801-1809,1743-1826
"Theodore Roosevelt",138,Republican,1901-1909,1858-1919
"Andrew Jackson",131,Democratic,1829-1837,1767-1845
"James Madison",112,Democratic-Republican,1809-1817,1751-1836
"Lyndon B. Johnson",108,Democratic,1963-1969,1908-1973
"Herbert Hoover",82,Republican,1929-1933,1874-1964
"Bill Clinton",75,Democratic,1993-2001,1946
"Franklin D. Roosevelt",66,Democratic,1933-1945,1882-1945
"John Tyler",57,Whig,1841-1845,1790-1862
"George W. Bush",39,Republican,2001-2009,1946
"James Monroe",30,Democratic-Republican,1817-1825,1758-1831
"Martin Van Buren",29,Democratic,1837-1841,1782-1862
"Grover Cleveland",28,Democratic,"1885-1889 1893-1897",1837-1908
"George H. W. Bush",26,Republican,1989-1993,1924
"John Quincy Adams",23,Democratic-Republican,1825-1829,1767-1848
"John Adams",21,Federalist,1797-1801,1735-1826
"Richard Nixon",17,Republican,1969-1974,1913-1994
"Ronald Reagan",14,Republican,1981-1989,1911-2004
"James K. Polk",11,Democratic,1845-1849,1795-1849
"Dwight Eisenhower",9,Republican,1953-1961,1890-1969
"Barack Obama",9,Democratic,2009-2017,1961
"Gerald Ford",8,Republican,1974-1977,1913-2006
"Jimmy Carter",8,Democratic,1977-1981,1924
"Zachary Taylor",7,Whig,1849-1850,1784-1850
"William Henry Harrison",6,Whig,1841-1841,1773-1841
"Benjamin Harrison",6,Republican,1889-1893,1833-1901
"Millard Fillmore",4,Whig,1850-1853,1800-1874
"Rutherford B. Hayes",3,Republican,1877-1881,1822-1893
"William Howard Taft",3,Republican,1909-1913,1857-1930
"Franklin Pierce",2,Democratic,1853-1857,1804-1869
"William McKinley",1,Republican,1897-1901,1843-1901
"Warren G. Harding",1,Republican,1921-1923,1865-1923
"James Buchanan",0,Democratic,1857-1861,1791-1868
"Abraham Lincoln",0,Republican,1861-1865,1809-1865
"Andrew Johnson",0,Democratic,1865-1869,1808-1875
"Ulysses S. Grant",0,Republican,1869-1877,1822-1885
"James Garfield",0,Republican,1881-1881,1831-1881
"Chester A. Arthur",0,Republican,1881-1885,1829-1886
"Woodrow Wilson",0,Democratic,1913-1921,1856-1924
"Calvin Coolidge",0,Republican,1923-1929,1872-1933
"Harry S. Truman",0,Democratic,1945-1953,1884-1972
